mx,my,mz
-27.0,-53.4,116.85
-27.0,-53.4,116.85
-26.7,-51.3,120.15
-23.1,-51.0,124.65
-23.55,-49.05,123.75
-24.15,-50.4,126.45
-24.45,-49.5,124.05
-22.8,-50.1,125.55
-21.0,-48.75,124.5
-23.4,-49.65,124.95
-25.35,-48.9,124.95
-24.15,-49.2,124.65
-25.65,-49.2,124.95
-24.9,-49.65,126.0
-24.9,-49.65,126.0
-23.1,-47.85,126.0
-20.7,-47.55,127.2
-21.3,-47.7,129.15
-21.15,-46.35,130.05
-17.25,-46.35,130.05
-18.45,-47.1,130.35
-18.0,-46.35,132.9
-18.0,-46.35,132.9
-18.0,-45.3,132.6
-18.6,-45.6,134.25
-19.35,-44.85,134.25
-17.55,-45.15,134.55
-19.05,-45.9,136.65
-18.0,-45.75,135.45
-19.35,-46.65,136.05
-20.7,-46.05,136.5
-20.55,-46.65,137.1
-20.55,-46.95,135.3
-19.95,-47.85,135.15
-21.75,-48.45,136.35
-21.75,-48.45,136.35
-20.1,-49.8,133.8
-22.5,-48.0,132.75
-21.45,-47.55,132.9
-21.45,-47.55,132.9
-23.1,-48.15,130.35
-20.7,-46.8,129.3
-22.05,-47.25,129.15
-22.05,-47.25,129.15
-19.95,-46.65,127.65
-19.8,-46.95,128.1
-19.65,-46.8,127.95
-19.65,-46.8,128.55
-20.4,-47.85,127.95
-20.55,-46.95,127.05
-19.35,-46.95,127.35
-21.0,-45.9,127.65
-18.3,-47.25,127.05
-19.95,-46.35,125.7
-19.65,-48.9,126.75
-19.95,-47.55,124.95
-18.45,-46.05,125.4
-18.9,-46.8,126.0
-20.55,-48.45,124.8
-18.9,-46.8,124.95
-18.9,-46.8,124.95
-19.65,-46.05,124.95
-19.35,-46.95,125.55
-18.9,-46.05,124.2
-18.9,-46.05,124.2
-18.9,-46.8,124.65
-19.95,-47.1,126.45
-21.3,-45.6,125.55
-20.4,-47.55,125.7
-19.35,-46.95,126.3
-19.8,-47.7,125.55
-18.9,-45.3,124.95
-20.55,-45.6,125.85
-19.95,-48.15,124.2
-21.0,-47.25,125.1
-19.95,-45.75,123.6
-20.1,-48.0,124.05
-19.95,-47.55,123.15
-18.0,-47.85,123.6
-19.2,-48.15,124.65
-20.1,-47.25,124.05
-20.1,-47.25,124.05
-20.1,-48.75,122.7
-19.65,-46.8,123.6
-19.05,-47.7,123.3
-19.05,-47.7,123.3
-19.35,-48.45,123.75
-19.05,-48.45,123.0
-19.2,-48.15,124.2
-17.55,-49.5,124.05
-18.45,-48.9,122.1
-18.9,-48.15,123.6
-19.35,-49.5,122.25
